,CATEGORIES,TOTAL,PROSTITUTION,VEHICLE THEFT
0,BAYVIEW,14711,7,985
1,SOUTHERN,30095,44,552
2,MISSION,18542,5,1368
3,CENTRAL,18565,66,1198
4,TENDERLOIN,10735,42,945
5,TARAVAL,11966,1,640
6,PARK,9341,9,561
7,RICHMOND,9082,96,795
8,NORTHERN,20092,81,789
9,INGLESIDE,13414,23,113
