,BOROUGH,TOTAL ACCIDENTS,TOTAL INJURIES,RATIO,POPULATION,Accident per 100000 inhabitant,Injury per 100000 inhabitant
0,BRONX,19682,4212,0.214002642008,1385108,1420.97222744,304.091810891
1,BROOKLYN,47747,10381,0.217416801056,2504700,1906.29616321,414.46081367
2,MANHATTAN,41251,5781,0.140142057162,1585873,2601.15406467,364.531081619
3,QUEENS,41007,7367,0.179652254493,2230722,1838.28374849,330.251819814
4,STATEN ISLAND,6613,1158,0.175109632542,468730,1410.8335289,247.050540823
