,BOROUGH,TOTAL ACCIDENTS,TOTAL INJURIES,RATIO,POPULATION,Accident per 100000 inhabitant,Injury per 100000 inhabitant
0,BRONX,19767,4506,0.227955683715,1385108,1427.10893302,325.317592563
1,BROOKLYN,47014,11211,0.238460883992,2504700,1877.03118138,447.598514792
2,MANHATTAN,41578,6229,0.149814805907,1585873,2621.77362248,392.780506384
3,QUEENS,39310,7775,0.197786822691,2230722,1762.20972403,348.541862231
4,STATEN ISLAND,8295,1507,0.181675708258,468730,1769.67550615,321.507050968
